Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
Calumet Beach,09/04/2015 12:00:00 AM,19.2,0.42,,0.179,4,11.1,09/04/2015 12:00 AM,CalumetBeach201509042400
Rainbow Beach,09/03/2015 08:00:00 PM,19.9,0.44,,0.361,3,12.4,09/03/2015 8:00 PM,RainbowBeach201509032000
Calumet Beach,09/05/2015 09:00:00 AM,21.5,0.23,,0.104,4,11,09/05/2015 9:00 AM,CalumetBeach201509050900
63rd Street Beach,09/05/2015 09:00:00 AM,21.8,0.69,,0.078,4,11,09/05/2015 9:00 AM,63rdStreetBeach201509050900
Montrose Beach,09/05/2015 09:00:00 AM,20.1,0.02,,0.158,4,11.1,09/05/2015 9:00 AM,MontroseBeach201509050900
Osterman Beach,09/05/2015 09:00:00 AM,20.4,0.34,,0.158,3,12.4,09/05/2015 9:00 AM,OstermanBeach201509050900
Ohio Street Beach,09/05/2015 09:00:00 AM,21.2,0.27,,0.11,3,12.2,09/05/2015 9:00 AM,OhioStreetBeach201509050900
Ohio Street Beach,05/29/2017 10:00:00 AM,16.1,1.77,,0.187,3,11.2,05/29/2017 10:00 AM,OhioStreetBeach201705291000
Ohio Street Beach,07/02/2017 10:00:00 PM,19.4,0.99,,0.187,3,11.2,07/02/2017 10:00 PM,OhioStreetBeach201707022200
Ohio Street Beach,07/14/2017 08:00:00 PM,20.7,2.15,,0.187,3,10.5,07/14/2017 8:00 PM,OhioStreetBeach201707142000
Ohio Street Beach,07/14/2017 10:00:00 PM,20.4,2.01,,0.187,3,10.5,07/14/2017 10:00 PM,OhioStreetBeach201707142200
Ohio Street Beach,07/14/2017 11:00:00 PM,20.3,2.53,,0.187,3,10.5,07/14/2017 11:00 PM,OhioStreetBeach201707142300
Ohio Street Beach,07/15/2017 12:00:00 AM,20.1,1.96,,0.187,3,10.5,07/15/2017 12:00 AM,OhioStreetBeach201707152400
Ohio Street Beach,07/15/2017 01:00:00 AM,20,1.29,,0.187,3,10.5,07/15/2017 1:00 AM,OhioStreetBeach201707150100
Ohio Street Beach,07/15/2017 02:00:00 AM,20,1.59,,0.187,3,10.5,07/15/2017 2:00 AM,OhioStreetBeach201707150200
Calumet Beach,07/03/2016 07:00:00 AM,21.2,2.21,,0.186,2,12.1,07/03/2016 7:00 AM,CalumetBeach201607030700
Montrose Beach,07/03/2016 07:00:00 AM,20.6,0,,0.106,6,10.1,07/03/2016 7:00 AM,MontroseBeach201607030700
Ohio Street Beach,07/03/2016 07:00:00 AM,20.7,1.83,,0.083,2,10.1,07/03/2016 7:00 AM,OhioStreetBeach201607030700
Ohio Street Beach,07/15/2017 03:00:00 AM,19.9,1.89,,0.187,3,10.4,07/15/2017 3:00 AM,OhioStreetBeach201707150300
Ohio Street Beach,07/15/2017 04:00:00 AM,19.8,2.37,,0.187,3,10.4,07/15/2017 4:00 AM,OhioStreetBeach201707150400
Ohio Street Beach,07/15/2017 05:00:00 AM,19.8,2.58,,0.187,3,10.4,07/15/2017 5:00 AM,OhioStreetBeach201707150500
Ohio Street Beach,07/15/2017 06:00:00 AM,19.7,2.08,,0.187,3,10.4,07/15/2017 6:00 AM,OhioStreetBeach201707150600
Ohio Street Beach,07/15/2017 07:00:00 AM,19.7,1.53,,0.187,3,10.4,07/15/2017 7:00 AM,OhioStreetBeach201707150700
Ohio Street Beach,07/15/2017 08:00:00 AM,19.8,0.83,,0.187,3,10.4,07/15/2017 8:00 AM,OhioStreetBeach201707150800
Ohio Street Beach,07/15/2017 09:00:00 AM,20.1,0.58,,0.187,3,10.4,07/15/2017 9:00 AM,OhioStreetBeach201707150900
Ohio Street Beach,07/15/2017 10:00:00 AM,20.7,1.63,,0.187,3,10.4,07/15/2017 10:00 AM,OhioStreetBeach201707151000
Ohio Street Beach,07/15/2017 11:00:00 AM,21.4,1.42,,0.187,3,10.4,07/15/2017 11:00 AM,OhioStreetBeach201707151100
Ohio Street Beach,07/15/2017 12:00:00 PM,21.6,1.18,,0.187,3,10.4,07/15/2017 12:00 PM,OhioStreetBeach201707151200
Calumet Beach,07/07/2016 11:00:00 PM,22.7,0.57,,0.11,2,11.7,07/07/2016 11:00 PM,CalumetBeach201607072300
Montrose Beach,07/07/2016 11:00:00 PM,21.6,0,,0.114,9,12,07/07/2016 11:00 PM,MontroseBeach201607072300
Ohio Street Beach,07/07/2016 11:00:00 PM,22.5,1.25,,0.195,1,12.5,07/07/2016 11:00 PM,OhioStreetBeach201607072300
Montrose Beach,09/03/2015 10:00:00 PM,16.5,0.3,,0.333,4,11.1,09/03/2015 10:00 PM,MontroseBeach201509032200
Ohio Street Beach,09/03/2015 10:00:00 PM,21.5,0.6,,0.186,4,12.5,09/03/2015 10:00 PM,OhioStreetBeach201509032200
Rainbow Beach,09/03/2015 09:00:00 PM,20,0.78,,0.422,3,12.4,09/03/2015 9:00 PM,RainbowBeach201509032100
63rd Street Beach,09/03/2015 09:00:00 PM,17.8,0.62,,0.218,3,11,09/03/2015 9:00 PM,63rdStreetBeach201509032100
Calumet Beach,09/03/2015 11:00:00 PM,18.4,0.5,,0.176,4,11.1,09/03/2015 11:00 PM,CalumetBeach201509032300
63rd Street Beach,09/03/2015 11:00:00 PM,18.6,0.33,,0.199,4,11,09/03/2015 11:00 PM,63rdStreetBeach201509032300
Montrose Beach,09/03/2015 11:00:00 PM,15.5,0.19,,0.337,4,11.1,09/03/2015 11:00 PM,MontroseBeach201509032300
Ohio Street Beach,09/03/2015 11:00:00 PM,21.4,0.82,,0.176,4,12.5,09/03/2015 11:00 PM,OhioStreetBeach201509032300
Rainbow Beach,09/03/2015 10:00:00 PM,20.7,3.27,,0.397,4,12.4,09/03/2015 10:00 PM,RainbowBeach201509032200
Calumet Beach,09/06/2015 02:00:00 PM,20.1,1.33,,0.135,3,11,09/06/2015 2:00 PM,CalumetBeach201509061400
63rd Street Beach,09/06/2015 02:00:00 PM,17.8,0.64,,0.076,7,10.9,09/06/2015 2:00 PM,63rdStreetBeach201509061400
Montrose Beach,09/06/2015 02:00:00 PM,14.8,0.04,,0.181,3,11,09/06/2015 2:00 PM,MontroseBeach201509061400
Osterman Beach,09/06/2015 02:00:00 PM,14.9,0.47,,0.164,3,12.1,09/06/2015 2:00 PM,OstermanBeach201509061400
Ohio Street Beach,09/06/2015 02:00:00 PM,21.8,0.77,,0.169,4,12,09/06/2015 2:00 PM,OhioStreetBeach201509061400
Rainbow Beach,09/06/2015 01:00:00 PM,17.8,0.87,,0.228,2,12,09/06/2015 1:00 PM,RainbowBeach201509061300
Calumet Beach,09/06/2015 07:00:00 PM,18.1,1.76,,0.137,3,11,09/06/2015 7:00 PM,CalumetBeach201509061900
63rd Street Beach,09/06/2015 07:00:00 PM,17.4,0.55,,0.101,3,10.9,09/06/2015 7:00 PM,63rdStreetBeach201509061900
Montrose Beach,09/06/2015 07:00:00 PM,14.1,0.57,,0.212,3,11,09/06/2015 7:00 PM,MontroseBeach201509061900
Osterman Beach,09/06/2015 07:00:00 PM,13.6,0.41,,0.167,3,12.1,09/06/2015 7:00 PM,OstermanBeach201509061900
Ohio Street Beach,09/06/2015 07:00:00 PM,21.4,0.86,,0.159,3,12,09/06/2015 7:00 PM,OhioStreetBeach201509061900
Rainbow Beach,09/06/2015 06:00:00 PM,18,1.13,,0.184,3,12,09/06/2015 6:00 PM,RainbowBeach201509061800
Calumet Beach,07/02/2016 08:00:00 PM,21.7,2.36,,0.224,2,12.2,07/02/2016 8:00 PM,CalumetBeach201607022000
Montrose Beach,07/02/2016 08:00:00 PM,21,0.03,,0.145,4,10.2,07/02/2016 8:00 PM,MontroseBeach201607022000
Calumet Beach,07/02/2016 09:00:00 PM,22.2,3.66,,0.193,2,12.2,07/02/2016 9:00 PM,CalumetBeach201607022100
Montrose Beach,07/02/2016 09:00:00 PM,20.9,0,,0.132,4,10.2,07/02/2016 9:00 PM,MontroseBeach201607022100
Ohio Street Beach,05/29/2017 11:00:00 AM,16,1.68,,0.187,3,11.2,05/29/2017 11:00 AM,OhioStreetBeach201705291100
Calumet Beach,07/02/2016 10:00:00 PM,22,2.68,,0.196,2,12.2,07/02/2016 10:00 PM,CalumetBeach201607022200
Montrose Beach,07/02/2016 10:00:00 PM,20.9,0,,0.124,4,10.2,07/02/2016 10:00 PM,MontroseBeach201607022200
Ohio Street Beach,07/02/2016 09:00:00 PM,21.1,2.18,,0.146,3,10.2,07/02/2016 9:00 PM,OhioStreetBeach201607022100
Calumet Beach,07/02/2016 11:00:00 PM,21.8,2.45,,0.169,2,12.2,07/02/2016 11:00 PM,CalumetBeach201607022300
Montrose Beach,07/02/2016 11:00:00 PM,20.8,0,,0.111,9,10.2,07/02/2016 11:00 PM,MontroseBeach201607022300
Ohio Street Beach,07/02/2016 11:00:00 PM,21,1.82,,0.162,3,10.2,07/02/2016 11:00 PM,OhioStreetBeach201607022300
Calumet Beach,07/03/2016 04:00:00 AM,21.3,2.19,,0.146,2,12.1,07/03/2016 4:00 AM,CalumetBeach201607030400
Montrose Beach,07/03/2016 04:00:00 AM,20.5,0,,0.101,10,10.1,07/03/2016 4:00 AM,MontroseBeach201607030400
Ohio Street Beach,07/03/2016 04:00:00 AM,20.7,1.92,,0.087,2,10.1,07/03/2016 4:00 AM,OhioStreetBeach201607030400
63rd Street Beach,09/04/2015 12:00:00 AM,18.8,0.37,,0.231,4,11,09/04/2015 12:00 AM,63rdStreetBeach201509042400
Montrose Beach,09/04/2015 12:00:00 AM,15.7,0.57,,0.313,4,11.1,09/04/2015 12:00 AM,MontroseBeach201509042400
Ohio Street Beach,09/04/2015 12:00:00 AM,21.4,0.85,,0.178,4,12.5,09/04/2015 12:00 AM,OhioStreetBeach201509042400
Rainbow Beach,09/03/2015 11:00:00 PM,20.2,11.37,,0.398,4,12.4,09/03/2015 11:00 PM,RainbowBeach201509032300
Calumet Beach,07/03/2016 05:00:00 AM,21.3,2.14,,0.136,2,12.1,07/03/2016 5:00 AM,CalumetBeach201607030500
Montrose Beach,07/03/2016 05:00:00 AM,20.5,0,,0.098,10,10.1,07/03/2016 5:00 AM,MontroseBeach201607030500
Ohio Street Beach,07/03/2016 05:00:00 AM,20.7,1.9,,0.087,2,10.1,07/03/2016 5:00 AM,OhioStreetBeach201607030500
Calumet Beach,07/03/2016 09:00:00 AM,21.3,2.84,,0.284,3,12.1,07/03/2016 9:00 AM,CalumetBeach201607030900
Montrose Beach,07/03/2016 09:00:00 AM,20.7,0,,0.177,3,10.1,07/03/2016 9:00 AM,MontroseBeach201607030900
Ohio Street Beach,07/03/2016 09:00:00 AM,20.8,1.68,,0.162,3,10.1,07/03/2016 9:00 AM,OhioStreetBeach201607030900
Ohio Street Beach,05/29/2017 12:00:00 PM,16.5,1.65,,0.187,3,11.2,05/29/2017 12:00 PM,OhioStreetBeach201705291200
Ohio Street Beach,07/02/2017 11:00:00 PM,19.2,0.95,,0.187,3,11.2,07/02/2017 11:00 PM,OhioStreetBeach201707022300
Ohio Street Beach,07/03/2017 12:00:00 AM,19.1,1.15,,0.187,3,11.2,07/03/2017 12:00 AM,OhioStreetBeach201707032400
Ohio Street Beach,07/03/2017 01:00:00 AM,19.2,0.84,,0.187,3,11.2,07/03/2017 1:00 AM,OhioStreetBeach201707030100
Ohio Street Beach,07/03/2017 02:00:00 AM,19.1,0.82,,0.187,3,11.2,07/03/2017 2:00 AM,OhioStreetBeach201707030200
Ohio Street Beach,07/03/2017 03:00:00 AM,19.1,0.83,,0.187,3,11.2,07/03/2017 3:00 AM,OhioStreetBeach201707030300
Ohio Street Beach,07/03/2017 04:00:00 AM,19,0.82,,0.187,3,11.2,07/03/2017 4:00 AM,OhioStreetBeach201707030400
Ohio Street Beach,07/03/2017 05:00:00 AM,19,0.84,,0.187,3,11.2,07/03/2017 5:00 AM,OhioStreetBeach201707030500
Ohio Street Beach,07/03/2017 06:00:00 AM,19,0.78,,0.187,3,11.2,07/03/2017 6:00 AM,OhioStreetBeach201707030600
Calumet Beach,07/04/2016 09:00:00 AM,21.5,1.6,,0.191,3,11.9,07/04/2016 9:00 AM,CalumetBeach201607040900
Ohio Street Beach,07/03/2017 07:00:00 AM,19,0.74,,0.187,3,11.2,07/03/2017 7:00 AM,OhioStreetBeach201707030700
Ohio Street Beach,07/04/2016 08:00:00 AM,21.1,2.37,,0.144,3,10.1,07/04/2016 8:00 AM,OhioStreetBeach201607040800
Ohio Street Beach,07/03/2017 08:00:00 AM,19,0.74,,0.187,3,11.2,07/03/2017 8:00 AM,OhioStreetBeach201707030800
Montrose Beach,07/04/2016 09:00:00 AM,21,0,,0.214,3,10.1,07/04/2016 9:00 AM,MontroseBeach201607040900
Ohio Street Beach,07/03/2017 09:00:00 AM,19.2,0.75,,0.187,3,11.2,07/03/2017 9:00 AM,OhioStreetBeach201707030900
Calumet Beach,07/04/2016 12:00:00 PM,21.8,1.43,,0.167,3,11.9,07/04/2016 12:00 PM,CalumetBeach201607041200
Montrose Beach,07/04/2016 12:00:00 PM,21.4,0,,0.202,3,10,07/04/2016 12:00 PM,MontroseBeach201607041200
Calumet Beach,07/04/2016 01:00:00 PM,22,1.61,,0.213,2,11.9,07/04/2016 1:00 PM,CalumetBeach201607041300
Montrose Beach,07/04/2016 01:00:00 PM,21.6,0,,0.216,3,10,07/04/2016 1:00 PM,MontroseBeach201607041300
Ohio Street Beach,07/04/2016 01:00:00 PM,21.8,3.13,,0.163,3,10.1,07/04/2016 1:00 PM,OhioStreetBeach201607041300
Calumet Beach,09/04/2015 01:00:00 AM,19.2,0.38,,0.166,4,11.1,09/04/2015 1:00 AM,CalumetBeach201509040100
63rd Street Beach,09/04/2015 01:00:00 AM,19,0.42,,0.182,4,11,09/04/2015 1:00 AM,63rdStreetBeach201509040100
Montrose Beach,09/04/2015 01:00:00 AM,15.3,0.41,,0.314,4,11.1,09/04/2015 1:00 AM,MontroseBeach201509040100
Ohio Street Beach,09/04/2015 01:00:00 AM,21.3,0.79,,0.18,4,12.5,09/04/2015 1:00 AM,OhioStreetBeach201509040100
Rainbow Beach,09/04/2015 12:00:00 AM,20.4,9.82,,0.381,4,12.4,09/04/2015 12:00 AM,RainbowBeach201509042400
Calumet Beach,09/04/2015 02:00:00 AM,19.3,0.38,,0.176,4,11.1,09/04/2015 2:00 AM,CalumetBeach201509040200
Calumet Beach,07/03/2016 12:00:00 PM,21.7,3.49,,0.291,3,12.1,07/03/2016 12:00 PM,CalumetBeach201607031200
Montrose Beach,09/04/2015 02:00:00 AM,15.4,0.67,,0.29,4,11.1,09/04/2015 2:00 AM,MontroseBeach201509040200
Ohio Street Beach,09/04/2015 02:00:00 AM,21.3,0.88,,0.164,4,12.4,09/04/2015 2:00 AM,OhioStreetBeach201509040200
Rainbow Beach,09/04/2015 01:00:00 AM,20.6,8.16,,0.36,4,12.4,09/04/2015 1:00 AM,RainbowBeach201509040100
Calumet Beach,09/04/2015 03:00:00 AM,19.2,0.38,,0.168,3,11.1,09/04/2015 3:00 AM,CalumetBeach201509040300
Montrose Beach,09/04/2015 03:00:00 AM,15.9,0.33,,0.28,4,11.1,09/04/2015 3:00 AM,MontroseBeach201509040300
Ohio Street Beach,09/04/2015 03:00:00 AM,21.2,0.75,,0.166,4,12.4,09/04/2015 3:00 AM,OhioStreetBeach201509040300
Rainbow Beach,09/04/2015 02:00:00 AM,20.5,6.05,,0.347,4,12.4,09/04/2015 2:00 AM,RainbowBeach201509040200
63rd Street Beach,09/04/2015 02:00:00 AM,19.3,0.38,,0.18,4,11,09/04/2015 2:00 AM,63rdStreetBeach201509040200
Calumet Beach,09/04/2015 04:00:00 AM,19.4,0.38,,0.166,4,11.1,09/04/2015 4:00 AM,CalumetBeach201509040400
63rd Street Beach,09/04/2015 04:00:00 AM,20.4,0.24,,0.161,4,11,09/04/2015 4:00 AM,63rdStreetBeach201509040400
Montrose Beach,09/04/2015 04:00:00 AM,15.5,0.41,,0.285,9,11.1,09/04/2015 4:00 AM,MontroseBeach201509040400
Ohio Street Beach,09/04/2015 04:00:00 AM,21.2,0.67,,0.164,4,12.4,09/04/2015 4:00 AM,OhioStreetBeach201509040400
Rainbow Beach,09/04/2015 03:00:00 AM,20.5,6.12,,0.347,4,12.4,09/04/2015 3:00 AM,RainbowBeach201509040300
Calumet Beach,09/04/2015 08:00:00 PM,23,1.15,,0.171,3,11.1,09/04/2015 8:00 PM,CalumetBeach201509042000
63rd Street Beach,09/04/2015 08:00:00 PM,22.5,0.68,,0.145,3,11,09/04/2015 8:00 PM,63rdStreetBeach201509042000
Montrose Beach,09/04/2015 08:00:00 PM,20.5,0.16,,0.249,3,11.1,09/04/2015 8:00 PM,MontroseBeach201509042000
Osterman Beach,09/04/2015 08:00:00 PM,20.6,0.16,,0.223,3,12.6,09/04/2015 8:00 PM,OstermanBeach201509042000
Ohio Street Beach,09/04/2015 08:00:00 PM,22.6,0.36,,0.161,4,12.3,09/04/2015 8:00 PM,OhioStreetBeach201509042000
Rainbow Beach,09/04/2015 07:00:00 PM,22.2,2.32,,0.313,4,12.2,09/04/2015 7:00 PM,RainbowBeach201509041900
Calumet Beach,09/07/2015 11:00:00 PM,18.3,0.23,,0.08,3,10.9,09/07/2015 11:00 PM,CalumetBeach201509072300
63rd Street Beach,09/07/2015 11:00:00 PM,18.7,0.28,,0.049,5,10.8,09/07/2015 11:00 PM,63rdStreetBeach201509072300
Montrose Beach,09/07/2015 11:00:00 PM,14.8,0.01,,0.09,9,11,09/07/2015 11:00 PM,MontroseBeach201509072300
Osterman Beach,09/07/2015 11:00:00 PM,14.7,0.12,,0.092,9,11.9,09/07/2015 11:00 PM,OstermanBeach201509072300
Ohio Street Beach,09/07/2015 11:00:00 PM,20.7,0.85,,0.066,2,11.9,09/07/2015 11:00 PM,OhioStreetBeach201509072300
Montrose Beach,07/03/2016 12:00:00 PM,21.2,0,,0.212,3,10.1,07/03/2016 12:00 PM,MontroseBeach201607031200
Rainbow Beach,09/07/2015 10:00:00 PM,20.5,0.22,,0.151,9,11.9,09/07/2015 10:00 PM,RainbowBeach201509072200
Ohio Street Beach,07/03/2016 12:00:00 PM,21.3,1.85,,0.163,3,10.1,07/03/2016 12:00 PM,OhioStreetBeach201607031200
Calumet Beach,07/03/2016 01:00:00 PM,22.2,3.75,,0.296,2,12.1,07/03/2016 1:00 PM,CalumetBeach201607031300
Calumet Beach,09/04/2015 05:00:00 AM,19.5,0.31,,0.158,4,11.1,09/04/2015 5:00 AM,CalumetBeach201509040500
63rd Street Beach,09/04/2015 05:00:00 AM,20.7,0.24,,0.158,4,11,09/04/2015 5:00 AM,63rdStreetBeach201509040500
Montrose Beach,09/04/2015 05:00:00 AM,15.2,0.43,,0.247,4,11.1,09/04/2015 5:00 AM,MontroseBeach201509040500
Ohio Street Beach,09/04/2015 05:00:00 AM,21.1,0.85,,0.147,4,12.4,09/04/2015 5:00 AM,OhioStreetBeach201509040500
Rainbow Beach,09/04/2015 04:00:00 AM,20.3,4.97,,0.328,4,12.4,09/04/2015 4:00 AM,RainbowBeach201509040400
Calumet Beach,09/04/2015 06:00:00 AM,20.1,0.15,,0.145,9,11.1,09/04/2015 6:00 AM,CalumetBeach201509040600
63rd Street Beach,09/04/2015 06:00:00 AM,20.6,0.23,,0.133,4,11,09/04/2015 6:00 AM,63rdStreetBeach201509040600
Montrose Beach,09/04/2015 06:00:00 AM,15.1,0.4,,0.24,4,11.1,09/04/2015 6:00 AM,MontroseBeach201509040600
Ohio Street Beach,09/04/2015 06:00:00 AM,21.1,0.72,,0.138,4,12.4,09/04/2015 6:00 AM,OhioStreetBeach201509040600
Rainbow Beach,09/04/2015 05:00:00 AM,20.3,0.54,,0.305,4,12.4,09/04/2015 5:00 AM,RainbowBeach201509040500
Calumet Beach,09/04/2015 07:00:00 AM,20.2,0.14,,0.145,4,11.1,09/04/2015 7:00 AM,CalumetBeach201509040700
63rd Street Beach,09/04/2015 07:00:00 AM,20.7,0.23,,0.141,4,11,09/04/2015 7:00 AM,63rdStreetBeach201509040700
Montrose Beach,09/04/2015 07:00:00 AM,15.1,0.3,,0.256,4,11.1,09/04/2015 7:00 AM,MontroseBeach201509040700
Ohio Street Beach,09/04/2015 07:00:00 AM,21,0.58,,0.151,4,12.4,09/04/2015 7:00 AM,OhioStreetBeach201509040700
Rainbow Beach,09/04/2015 06:00:00 AM,20.2,0.49,,0.3,4,12.3,09/04/2015 6:00 AM,RainbowBeach201509040600
Calumet Beach,09/04/2015 08:00:00 AM,20.3,0.1,,0.144,4,11.1,09/04/2015 8:00 AM,CalumetBeach201509040800
Montrose Beach,09/04/2015 08:00:00 AM,15.2,0.24,,0.267,4,11.1,09/04/2015 8:00 AM,MontroseBeach201509040800
Ohio Street Beach,09/04/2015 08:00:00 AM,20.9,0.66,,0.156,4,12.4,09/04/2015 8:00 AM,OhioStreetBeach201509040800
Rainbow Beach,09/04/2015 07:00:00 AM,20.2,0.59,,0.289,4,12.3,09/04/2015 7:00 AM,RainbowBeach201509040700
Calumet Beach,09/04/2015 09:00:00 AM,20.5,0.12,,0.14,4,11.1,09/04/2015 9:00 AM,CalumetBeach201509040900
Montrose Beach,09/04/2015 09:00:00 AM,16.2,0.03,,0.272,3,11.1,09/04/2015 9:00 AM,MontroseBeach201509040900
Ohio Street Beach,09/04/2015 09:00:00 AM,21.1,0.81,,0.153,3,12.4,09/04/2015 9:00 AM,OhioStreetBeach201509040900
Rainbow Beach,09/04/2015 08:00:00 AM,20.2,0.79,,0.285,4,12.3,09/04/2015 8:00 AM,RainbowBeach201509040800
Ohio Street Beach,08/20/2016 12:00:00 AM,22.9,1.24,,0.103,6,10.2,08/20/2016 12:00 AM,OhioStreetBeach201608202400
63rd Street Beach,09/04/2015 08:00:00 AM,20.6,0.24,,0.147,4,11,09/04/2015 8:00 AM,63rdStreetBeach201509040800
Calumet Beach,09/05/2015 12:00:00 PM,21.5,1.18,,0.254,3,11,09/05/2015 12:00 PM,CalumetBeach201509051200
63rd Street Beach,09/05/2015 12:00:00 PM,21.7,0.66,,0.097,4,10.9,09/05/2015 12:00 PM,63rdStreetBeach201509051200
Montrose Beach,09/05/2015 12:00:00 PM,19,0.01,,0.195,3,11.1,09/05/2015 12:00 PM,MontroseBeach201509051200
Osterman Beach,09/05/2015 12:00:00 PM,19.3,0.32,,0.256,3,12.4,09/05/2015 12:00 PM,OstermanBeach201509051200
Ohio Street Beach,09/05/2015 12:00:00 PM,21.3,0.26,,0.164,4,12.2,09/05/2015 12:00 PM,OhioStreetBeach201509051200
Rainbow Beach,09/05/2015 12:00:00 PM,21.7,0.78,,0.171,4,12.2,09/05/2015 12:00 PM,RainbowBeach201509051200
Calumet Beach,09/08/2015 05:00:00 AM,18.6,0.27,,0.061,3,10.9,09/08/2015 5:00 AM,CalumetBeach201509080500
63rd Street Beach,09/08/2015 05:00:00 AM,19.5,0.23,,0.042,4,10.8,09/08/2015 5:00 AM,63rdStreetBeach201509080500
Montrose Beach,09/08/2015 05:00:00 AM,15.3,0.28,,0.096,9,10.9,09/08/2015 5:00 AM,MontroseBeach201509080500
Osterman Beach,09/08/2015 05:00:00 AM,14.8,0.14,,0.094,2,11.8,09/08/2015 5:00 AM,OstermanBeach201509080500
Calumet Beach,09/04/2015 10:00:00 AM,20.7,0.13,,0.139,3,11.1,09/04/2015 10:00 AM,CalumetBeach201509041000
Montrose Beach,09/04/2015 10:00:00 AM,16.8,0.08,,0.28,4,11.1,09/04/2015 10:00 AM,MontroseBeach201509041000
Ohio Street Beach,09/04/2015 10:00:00 AM,21.2,0.14,,0.157,5,12.4,09/04/2015 10:00 AM,OhioStreetBeach201509041000
Rainbow Beach,09/04/2015 09:00:00 AM,20.4,0.93,,0.281,3,12.3,09/04/2015 9:00 AM,RainbowBeach201509040900
Calumet Beach,09/04/2015 11:00:00 AM,21,0.11,,0.139,4,11.1,09/04/2015 11:00 AM,CalumetBeach201509041100
Montrose Beach,09/04/2015 11:00:00 AM,16.7,0.1,,0.292,3,11.1,09/04/2015 11:00 AM,MontroseBeach201509041100
Osterman Beach,09/04/2015 10:00:00 AM,17.7,0.13,,0.232,4,10,09/04/2015 10:00 AM,OstermanBeach201509041000
Ohio Street Beach,09/04/2015 11:00:00 AM,21.6,0.04,,0.183,4,12.4,09/04/2015 11:00 AM,OhioStreetBeach201509041100
Rainbow Beach,09/04/2015 10:00:00 AM,20.6,0.55,,0.303,4,12.3,09/04/2015 10:00 AM,RainbowBeach201509041000
Calumet Beach,09/04/2015 12:00:00 PM,21.4,0.1,,0.148,3,11.1,09/04/2015 12:00 PM,CalumetBeach201509041200
Montrose Beach,09/04/2015 12:00:00 PM,16.9,0.16,,0.289,4,11.1,09/04/2015 12:00 PM,MontroseBeach201509041200
Osterman Beach,09/04/2015 12:00:00 PM,19.1,0.14,,0.252,3,12.8,09/04/2015 12:00 PM,OstermanBeach201509041200
Ohio Street Beach,09/04/2015 12:00:00 PM,21.9,0.11,,0.196,4,12.3,09/04/2015 12:00 PM,OhioStreetBeach201509041200
Rainbow Beach,09/04/2015 11:00:00 AM,21,1.24,,0.307,5,12.3,09/04/2015 11:00 AM,RainbowBeach201509041100
63rd Street Beach,09/04/2015 11:00:00 AM,21.2,0.25,,0.17,5,11,09/04/2015 11:00 AM,63rdStreetBeach201509041100
Calumet Beach,09/04/2015 01:00:00 PM,21.4,0.13,,0.142,3,11.1,09/04/2015 1:00 PM,CalumetBeach201509041300
63rd Street Beach,09/04/2015 01:00:00 PM,21.7,0.26,,0.187,5,11,09/04/2015 1:00 PM,63rdStreetBeach201509041300
Montrose Beach,09/04/2015 01:00:00 PM,19.2,0,,0.305,4,11.1,09/04/2015 1:00 PM,MontroseBeach201509041300
Osterman Beach,09/04/2015 01:00:00 PM,19.6,0.14,,0.246,3,12.8,09/04/2015 1:00 PM,OstermanBeach201509041300
Ohio Street Beach,09/04/2015 01:00:00 PM,22.2,0.35,,0.203,3,12.3,09/04/2015 1:00 PM,OhioStreetBeach201509041300
Rainbow Beach,09/04/2015 12:00:00 PM,21.4,0.5,,0.328,5,12.3,09/04/2015 12:00 PM,RainbowBeach201509041200
Calumet Beach,09/04/2015 02:00:00 PM,21.6,0.14,,0.16,2,11.1,09/04/2015 2:00 PM,CalumetBeach201509041400
Montrose Beach,09/04/2015 02:00:00 PM,19.4,0,,0.306,4,11.1,09/04/2015 2:00 PM,MontroseBeach201509041400
Osterman Beach,09/04/2015 02:00:00 PM,19.9,0.16,,0.239,3,12.8,09/04/2015 2:00 PM,OstermanBeach201509041400
Ohio Street Beach,09/04/2015 02:00:00 PM,22.4,0.41,,0.2,4,12.3,09/04/2015 2:00 PM,OhioStreetBeach201509041400
Rainbow Beach,09/04/2015 01:00:00 PM,21.8,1.6,,0.336,4,12.3,09/04/2015 1:00 PM,RainbowBeach201509041300
63rd Street Beach,09/04/2015 02:00:00 PM,22,0.3,,0.187,4,11,09/04/2015 2:00 PM,63rdStreetBeach201509041400
Calumet Beach,09/04/2015 11:00:00 PM,22.5,0.54,,0.161,2,11.1,09/04/2015 11:00 PM,CalumetBeach201509042300
63rd Street Beach,09/04/2015 11:00:00 PM,22.1,0.66,,0.126,4,11,09/04/2015 11:00 PM,63rdStreetBeach201509042300
Montrose Beach,09/04/2015 11:00:00 PM,20.5,0.03,,0.243,3,11.1,09/04/2015 11:00 PM,MontroseBeach201509042300
Osterman Beach,09/04/2015 11:00:00 PM,20.9,0.17,,0.209,4,12.6,09/04/2015 11:00 PM,OstermanBeach201509042300
Ohio Street Beach,09/04/2015 11:00:00 PM,22.3,0.45,,0.161,3,12.3,09/04/2015 11:00 PM,OhioStreetBeach201509042300
